"DateTime";"Количество"
2022-07-18 00:00:00;691
2022-07-19 00:00:00;744
2022-07-20 00:00:00;741
2022-07-21 00:00:00;923
2022-07-22 00:00:00;838
2022-07-23 00:00:00;525
2022-07-24 00:00:00;302
2022-07-25 00:00:00;682
2022-07-26 00:00:00;913
2022-07-27 00:00:00;776
2022-07-28 00:00:00;855
2022-07-29 00:00:00;816
2022-07-30 00:00:00;409
2022-07-31 00:00:00;294
2022-08-01 00:00:00;611
2022-08-02 00:00:00;807
2022-08-03 00:00:00;783
2022-08-04 00:00:00;824
2022-08-05 00:00:00;817
2022-08-06 00:00:00;506
2022-08-07 00:00:00;312
2022-08-08 00:00:00;566
2022-08-09 00:00:00;672
2022-08-10 00:00:00;818
2022-08-11 00:00:00;861
2022-08-12 00:00:00;902
2022-08-13 00:00:00;488
2022-08-14 00:00:00;343
2022-08-15 00:00:00;743
2022-08-16 00:00:00;894
2022-08-17 00:00:00;929
2022-08-18 00:00:00;899
2022-08-19 00:00:00;783
2022-08-20 00:00:00;451
2022-08-21 00:00:00;354
2022-08-22 00:00:00;664
2022-08-23 00:00:00;987
2022-08-24 00:00:00;1030
2022-08-25 00:00:00;997
2022-08-26 00:00:00;1035
2022-08-27 00:00:00;555
2022-08-28 00:00:00;412
2022-08-29 00:00:00;905
2022-08-30 00:00:00;1172
2022-08-31 00:00:00;1036
2022-09-01 00:00:00;892
2022-09-02 00:00:00;1191
2022-09-03 00:00:00;647
2022-09-04 00:00:00;466
2022-09-05 00:00:00;904
2022-09-06 00:00:00;896
2022-09-07 00:00:00;1078
2022-09-08 00:00:00;1169
2022-09-09 00:00:00;1037
2022-09-10 00:00:00;682
2022-09-11 00:00:00;459
2022-09-12 00:00:00;855
2022-09-13 00:00:00;785
2022-09-14 00:00:00;834
2022-09-15 00:00:00;1061
2022-09-16 00:00:00;1232
2022-09-17 00:00:00;740
2022-09-18 00:00:00;483
2022-09-19 00:00:00;1051
2022-09-20 00:00:00;993
2022-09-21 00:00:00;884
2022-09-22 00:00:00;717
2022-09-23 00:00:00;924
2022-09-24 00:00:00;776
2022-09-25 00:00:00;426
2022-09-26 00:00:00;832
2022-09-27 00:00:00;873
2022-09-28 00:00:00;667
2022-09-29 00:00:00;855
2022-09-30 00:00:00;939
2022-10-01 00:00:00;618
2022-10-02 00:00:00;388
2022-10-03 00:00:00;897
2022-10-04 00:00:00;775
2022-10-05 00:00:00;1080
2022-10-06 00:00:00;882
2022-10-07 00:00:00;1051
2022-10-08 00:00:00;620
2022-10-09 00:00:00;441
2022-10-10 00:00:00;824
2022-10-11 00:00:00;956
2022-10-12 00:00:00;905
2022-10-13 00:00:00;768
2022-10-14 00:00:00;1098
2022-10-15 00:00:00;552
2022-10-16 00:00:00;466
2022-10-17 00:00:00;723
2022-10-18 00:00:00;1029
2022-10-19 00:00:00;947
2022-10-20 00:00:00;1024
2022-10-21 00:00:00;927
2022-10-22 00:00:00;665
2022-10-23 00:00:00;481
2022-10-24 00:00:00;862
2022-10-25 00:00:00;975
2022-10-26 00:00:00;814
2022-10-27 00:00:00;903
2022-10-28 00:00:00;1093
2022-10-29 00:00:00;693
2022-10-30 00:00:00;474
2022-10-31 00:00:00;9
